pitch_id,competition,outcome_tier,start_seconds,pct_of_pitch,rubric_dim,dominant_appeal,confidence
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,5.75,0.008128357364998586,problem_fit,pathos,0.85
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,5.75,0.008128357364998586,team,pathos,0.85
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,51.71,0.07309867119027424,problem_fit,logos,0.75
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,98.03,0.1385778908679672,problem_fit,logos,0.85
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,98.03,0.1385778908679672,tech,logos,0.85
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,144.86,0.20477806050325137,tech,logos,0.85
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,193.47,0.2734944868532655,impact_evidence,logos,0.9
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,193.47,0.2734944868532655,scale_sustainability,logos,0.9
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,240.54,0.34003392705682783,impact_evidence,pathos,0.8
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,240.54,0.34003392705682783,scale_sustainability,pathos,0.8
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,286.37,0.4048204693242861,scale_sustainability,logos,0.85
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,286.37,0.4048204693242861,tech,logos,0.85
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,333.64,0.4716426350014136,scale_sustainability,logos,0.75
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,333.64,0.4716426350014136,team,logos,0.75
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,378.93,0.535665818490246,scale_sustainability,logos,0.55
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,424.02,0.5994062765055131,tech,logos,0.7
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,424.02,0.5994062765055131,scale_sustainability,logos,0.7
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,469.89,0.6642493638676845,scale_sustainability,logos,0.6
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,469.89,0.6642493638676845,problem_fit,logos,0.6
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,516.95,0.7307746677975686,scale_sustainability,logos,0.6
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,516.95,0.7307746677975686,impact_evidence,logos,0.6
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,562.52,0.7951936669493921,scale_sustainability,logos,0.85
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,609.5,0.8616058806898502,scale_sustainability,ethos,0.55
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,609.5,0.8616058806898502,tech,ethos,0.55
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,609.5,0.8616058806898502,team,ethos,0.55
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,655.34,0.9264065592309868,scale_sustainability,ethos,0.55
hult_2016_buupass,Hult Prize 2016 Global Finals,winner,655.34,0.9264065592309868,team,ethos,0.55
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,0.08,0.00017937219730941703,team,pathos,0.65
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,56.88,0.12753363228699552,problem_fit,logos,0.55
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,101.91,0.22849775784753362,problem_fit,logos,0.75
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,101.91,0.22849775784753362,tech,logos,0.75
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,147.91,0.33163677130044844,impact_evidence,logos,0.85
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,147.91,0.33163677130044844,scale_sustainability,logos,0.85
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,194.47,0.43603139013452913,impact_evidence,logos,0.5
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,194.47,0.43603139013452913,tech,logos,0.5
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,194.47,0.43603139013452913,scale_sustainability,logos,0.5
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,239.67,0.5373766816143497,team,ethos,0.75
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,239.67,0.5373766816143497,scale_sustainability,ethos,0.75
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,239.67,0.5373766816143497,impact_evidence,ethos,0.75
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,285.59,0.6403363228699551,scale_sustainability,logos,0.45
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,332.63,0.7458071748878924,scale_sustainability,logos,0.55
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,378.95,0.8496636771300449,tech,ethos,0.7
hult_2025_stickem,Hult Prize 2025 Global Finals,winner,378.95,0.8496636771300449,team,ethos,0.7
mit_solve_2023_finalist_2,MIT Solve / Horizon Prize 2023 (Concordia Annual Summit),finalist_unmapped,0.24,0.0004886988393402566,problem_fit,pathos,0.6
mit_solve_2023_finalist_2,MIT Solve / Horizon Prize 2023 (Concordia Annual Summit),finalist_unmapped,45.35,0.09234371818366931,problem_fit,logos,0.75
mit_solve_2023_finalist_2,MIT Solve / Horizon Prize 2023 (Concordia Annual Summit),finalist_unmapped,45.35,0.09234371818366931,tech,logos,0.75
mit_solve_2023_finalist_2,MIT Solve / Horizon Prize 2023 (Concordia Annual Summit),finalist_unmapped,92.16,0.1876603543066585,tech,logos,0.85
mit_solve_2023_finalist_2,MIT Solve / Horizon Prize 2023 (Concordia Annual Summit),finalist_unmapped,92.16,0.1876603543066585,impact_evidence,logos,0.85
